family_group|ssn_hash|vendor_member_key|given_name|surname|birth_dt|street|town|province|postal|relation|med_plan|tier|active_flag|audit_source_system|audit_load_ts
FAM1001|SSN107C4522F74E|VB-E1001|Yasmin|Kaplan|19631204|15 Herzl St|Netanya|NT|4230008|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1001|SSN7BAAA5595B4A|VB-S1001|Matan|Kaplan|19890219|15 Herzl St|Netanya|NT|4230008|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1001|SSNAFB2E21A11B9|VB-D1001-01|Nina|Kaplan|20080103|15 Herzl St|Netanya|NT|4230008|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1001|SSN98F7B6B49E93|VB-D1001-02|Omar|Kaplan|20110920|15 Herzl St|Netanya|NT|4230008|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1002|SSNE68961A7F076|VB-E1002|Tomer|Weiss|19810415|72 Ben Yehuda|Tel Aviv|TA|6100001|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1002|SSN2675D1F52B5F|VB-S1002|Yoni|Weiss|19550323|72 Ben Yehuda|Tel Aviv|TA|6100001|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1003|SSND5A2A53E9DA6|VB-E1003|Leah|Haddad|19770620|98 Allenby|Jerusalem|JM|9100002|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1003|SSN133BDF698CF2|VB-S1003|Noa|Haddad|20010818|98 Allenby|Jerusalem|JM|9100002|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1004|SSN5C2976C48CD8|VB-E1004|Sarah|Hazan|19940619|49 Jaffa Rd|Tel Aviv|TA|6100001|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1004|SSN0131AF707A53|VB-S1004|Liam|Hazan|19571108|49 Jaffa Rd|Tel Aviv|TA|6100001|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1005|SSN9959C89EBE5B|VB-E1005|Leah|Baron|19841127|11 Ben Yehuda|Haifa|HA|3320004|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1005|SSNB431542EE249|VB-S1005|Dan|Baron|19770422|11 Ben Yehuda|Haifa|HA|3320004|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1005|SSNE2E0A98A386D|VB-D1005-01|Adam|Baron|20091021|11 Ben Yehuda|Haifa|HA|3320004|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1005|SSNC325606AD327|VB-D1005-02|Zoe|Baron|20161208|11 Ben Yehuda|Haifa|HA|3320004|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1005|SSN28A0053EE1BA|VB-D1005-03|Zoe|Baron|20150709|11 Ben Yehuda|Haifa|HA|3320004|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1006|SSND67B2A0E0A64|VB-E1006|Eli|Levi|19690126|89 Ibn Gabirol|Netanya|NT|4230008|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1006|SSN3372074F94AB|VB-S1006|Adam|Levi|19590419|89 Ibn Gabirol|Netanya|NT|4230008|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1006|SSN1A3319A1496E|VB-D1006-01|Matan|Levi|20130421|89 Ibn Gabirol|Netanya|NT|4230008|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1006|SSNF6CC4E26BC76|VB-D1006-02|Yael|Levi|20141115|89 Ibn Gabirol|Netanya|NT|4230008|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1007|SSN0AAD2B9E72AC|VB-E1007|Ron|Weiss|19711219|34 Dizengoff|Jerusalem|JM|9100002|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1007|SSN5BB33C97C147|VB-S1007|Nadav|Weiss|19800608|34 Dizengoff|Jerusalem|JM|9100002|spouse|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1008|SSN5DCD0A7952C8|VB-E1008|Noa|Haddad|19641106|66 Rothschild|Jerusalem|JM|9100002|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1009|SSND213EA6A9D81|VB-E1009|Shira|Ben-David|19880518|77 Jaffa Rd|Rishon LeZion|RL|7530006|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1010|SSN04F6084FD6D4|VB-E1010|Nina|Mizrahi|19840124|99 Allenby|Haifa|HA|3320004|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1010|SSN88E37A60D1DF|VB-D1010-01|Adam|Mizrahi|20160317|99 Allenby|Haifa|HA|3320004|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1011|SSN0558E8AB37AE|VB-E1011|Tal|Gold|19670312|81 HaNassi|Tel Aviv|TA|6100001|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1011|SSN860D33C81696|VB-D1011-01|Ron|Gold|20160120|81 HaNassi|Tel Aviv|TA|6100001|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1012|SSN2F6FEB776C9F|VB-E1012|Dan|Friedman|19700108|63 Herzl St|Haifa|HA|3320004|employee|BASIC_PLUS|premium|false|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1013|SSN7003B6D054C4|VB-E1013|Gadi|Weiss|20040305|11 Rothschild|Tel Aviv|TA|6100001|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1013|SSN1825721BEE40|VB-S1013|Ron|Weiss|19650517|11 Rothschild|Tel Aviv|TA|6100001|spouse|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1014|SSN83658B721F93|VB-S1014|Yasmin|Hazan|19690211|89 Ben Yehuda|Netanya|NT|4230008|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1014|SSN8E0F4C8D655B|VB-D1014-01|Ava|Hazan|20160419|89 Ben Yehuda|Netanya|NT|4230008|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1015|SSN4590865D3311|VB-E1015|Noa|Kaplan|19590128|1 Jaffa Rd|Jerusalem|JM|9100002|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1015|SSN3C61F04CE514|VB-S1015|Tal|Kaplan|19700522|1 Jaffa Rd|Jerusalem|JM|9100002|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1015|SSN7CD42B6D00AE|VB-D1015-01|Yael|Kaplan|20110905|1 Jaffa Rd|Jerusalem|JM|9100002|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1016|SSN74A00E6E261E|VB-E1016|Hila|Biton|19770714|53 Ben Yehuda|Rishon LeZion|RL|7530006|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1016|SSNC1F2CF45308A|VB-S1016|Iris|Biton|19581121|53 Ben Yehuda|Rishon LeZion|RL|7530006|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1016|SSN3F352F0E897D|VB-D1016-01|Idan|Biton|20090113|53 Ben Yehuda|Rishon LeZion|RL|7530006|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1017|SSN79945B42C04A|VB-E1017|Omar|Weiss|19830314|44 Jaffa Rd|Netanya|NT|4230008|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1017|SSN24089EF5C065|VB-S1017|Itai|Weiss|19700215|44 Jaffa Rd|Netanya|NT|4230008|spouse|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1018|SSN374FD2E9048B|VB-E1018|Ron|Cohen|19600406|13 Herzl St|Petah Tikva|PT|4950007|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1018|SSN3C14333A25DC|VB-S1018|Yael|Cohen|19680702|13 Herzl St|Petah Tikva|PT|4950007|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1018|SSND8FDD46EC108|VB-D1018-01|Zoe|Cohen|20140113|13 Herzl St|Petah Tikva|PT|4950007|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1018|SSNE231F942D911|VB-D1018-03|Tomer|Cohen|20161123|13 Herzl St|Petah Tikva|PT|4950007|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1019|SSN6C46A788D8E1|VB-E1019|Noa|Berkowitz|20020902|20 Ben Yehuda|Rishon LeZion|RL|7530006|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1020|SSNDA8D5405256F|VB-E1020|Lior|Nissan|19650117|7 Arlozorov|Tel Aviv|TA|6100001|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1020|SSN0BA0660100C7|VB-S1020|Zoe|Nissan|19591003|7 Arlozorov|Tel Aviv|TA|6100001|spouse|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
